question,image_path,reference_answer,model_output,reasoning,is_correct
"In this flowchart diagram, if 'Prototype' is 'No', what is the next step?",../images_predict/flowchart-example029.webp,"If 'Prototype' is 'No', the next step is 'Refinement'.","Based on the flowchart diagram provided, if the decision for ""Prototype"" is ""No,"" the next step is **""Refinement""**.","The model output correctly identifies the next step in the flowchart as 'Refinement' when 'Prototype' is 'No', matching the reference answer.",True
"In this flowchart diagram, what is the next step after 'Design'?",../images_predict/flowchart-example029.webp,The next step after 'Design' is 'Testing'.,"Based on the flowchart diagram provided, the next step after ""Design"" is ""Testing.""","The model output correctly identifies the next step after 'Design' as 'Testing,' which matches the reference answer.",True
"In this flowchart diagram, if 'Correct Dimensional' is 'NO', what is the next step?",../images_predict/flowchart-example102.png,"If 'Correct Dimensional' is 'NO', the next step is 'Draw 2D model of component'.","If ""Correct Dimensional"" is ""NO,"" the next step in the flowchart is to **return to ""Draw 2D model of component""** and repeat the process.","The model output correctly identifies the next step in the flowchart as 'Draw 2D model of component' when 'Correct Dimensional' is 'NO', aligning with the reference answer.",True
"In this flowchart diagram, what is the next step after 'extrude cut'?",../images_predict/flowchart-example102.png,The next step after 'extrude cut' is 'Assemble all part'.,"Based on the flowchart diagram provided, the next step after ""Extrude cut"" is **""Assemble all part""**.","The model output correctly identifies the next step in the flowchart as 'Assemble all part', which matches the reference answer.",True
"In this flowchart diagram, what is the next step after 'Sketch light source'?",../images_predict/flowchart-example102.png,The next step after 'Sketch light source' is 'Extrude base to create 3D feature of fiber optic'.,"In the provided flowchart, the next step after **""Sketch light source""** is:

**""Extrude base to create 3D feature of fiber optic""**.","The model output matches the reference answer exactly, providing the same next step in the flowchart.",True
"In this flowchart diagram, if 'Temp < 32?' is 'Yes', what is the next step?",../images_predict/flowchart-example113.png,"If 'Temp < 32?' is 'Yes', the next step is 'Print ""below Freezing""'.","In the provided flowchart, if the decision ""Temp < 32?"" is ""Yes,"" the next step is to **Print ""Below Freezing""**.","The model output correctly identifies the next step in the flowchart when 'Temp < 32?' is 'Yes', matching the reference answer.",True
"In this flowchart diagram, if 'Temp < 32?' is 'No', what is the next step?",../images_predict/flowchart-example113.png,"If 'Temp < 32?' is 'No', the next step is 'Print ""Above Freezing""'.","Based on the provided flowchart diagram, if the decision ""Temp < 32?"" is ""No,"" the next step is to:

**Print ""Above Freezing""**.","The model output correctly identifies the next step in the flowchart when 'Temp < 32?' is 'No', which matches the reference answer.",True
"In this flowchart diagram, what is the next step after 'start'?",../images_predict/flowchart-example113.png,The next step after 'start' is 'Read Temp'.,"In the provided flowchart, the next step after ""Start"" is **""Read Temp""**.","The model output correctly identifies the next step in the flowchart as 'Read Temp', which matches the reference answer.",True
"In this flowchart diagram, if 'Cross Loading in Pattern Matrix Table?' is 'Yes', what is the next step?",../images_predict/flowchart-example052.png,"If 'Cross Loading in Pattern Matrix Table?' is 'Yes', the next step is 'Drop the Item'.","Based on the provided flowchart, if the decision for **""Cross Loading in Pattern Matrix Table?""** is **""Yes""**, the next step is to **""Drop the Item""**.",The model output correctly identifies the next step in the flowchart as described in the reference answer.,True
"In this flowchart diagram, if 'Communalities Less than 0.5 ?' is 'Yes', what is the next step?",../images_predict/flowchart-example052.png,"If 'Communalities Less than 0.5 ?' is 'Yes', the next step is 'Drop the Item'.","Based on the flowchart diagram provided, if the decision ""Communalities Less than 0.5?"" is **Yes**, the next step is to **Drop the Item**.","The model output correctly identifies the next step in the flowchart diagram when the condition 'Communalities Less than 0.5?' is 'Yes', which matches the reference answer.",True
"In this flowchart diagram, what is the next step after 'Factors Retained'?",../images_predict/flowchart-example052.png,The next step after 'Factors Retained' is 'Results Interpreation'.,"Based on the flowchart diagram provided, the next step after ""Factors Retained"" is **""Results Interpretation.""**","The model output correctly identifies the next step in the flowchart as 'Results Interpretation,' which matches the reference answer.",True
"In this flowchart diagram, if 'Showing' is 'Yes', what is the next step?",../images_predict/flowchart-example112.png,"If 'Showing' is 'Yes', the next step is 'Walk to school'.","Based on the flowchart diagram provided, if ""Showing"" is ""Yes,"" the next step depends on the specific decision point in the flowchart. Here's the breakdown:

1. **Temperature Decision**:
   - If ""Above freezing point"" is ""Yes,"" the next step is **Wet road**.
   - If ""Below freezing point"" is ""Yes,"" the next step is **Snowing**.

2. **Wet Road Decision**:
   - If ""Yes,"" the next step is **Raining**.
   - If ""No,"" the next step is **Walk to school**.

3. **Raining Decision**:
   - If ""Yes,"" the next step is **Light shower**.
   - If ""No,"" the next step is **Walk to school**.

4. **Light Shower Decision**:
   - If ""Yes,"" the next step is **Cycle to school**.
   - If ""No,"" the next step is **Walk to school**.

5. **Snowing Decision**:
   - If ""Yes,"" the next step is **Walk to school**.
   - If ""No,"" the next step is **Frosty road**.

6. **Frosty Road Decision**:
   - If ""Yes,"" the next step is **Walk to school**.
   - If ""No,"" the next step is **Cycle to school**.

Each decision point leads to a specific process or terminator based on the ""Yes"" or ""No"" condition.",The model output provides a detailed breakdown of potential steps in the flowchart but does not directly address the specific question about the 'Showing' condition leading to 'Walk to school.',False
"In this flowchart diagram, if 'Raining ' is 'No', what is the next step?",../images_predict/flowchart-example112.png,"If 'Raining ' is 'No', the next step is 'Cycle to school'.","Based on the flowchart diagram (Figure A), if ""Raining"" is ""No,"" the next step is to check the ""Light shower"" decision. 

- If ""Light shower"" is ""No,"" the process proceeds to **""Walk to school.""**
- If ""Light shower"" is ""Yes,"" the process proceeds to **""Cycle to school.""**","The model output provides a different interpretation of the flowchart's logic compared to the reference answer. Without the actual flowchart, it's unclear which interpretation is correct.",False
"In this flowchart diagram, if 'Temperature' is 'Above freezing opint', what is the next step?",../images_predict/flowchart-example112.png,"If 'Temperature' is 'Above freezing opint', the next step is 'Wet road'.","Based on the flowchart diagram provided, if the **Temperature** is **Above freezing point**, the next step is to check the condition of the **Wet road**.","The model output correctly identifies the next step in the flowchart as checking the condition of the wet road when the temperature is above freezing point, aligning with the reference answer.",True
"In this flowchart diagram, if 'inspect' is 'Rejected', what is the next step?",../images_predict/flowchart-example003.png,"If 'inspect' is 'Rejected', the next step is 'Process 2'.","Based on the provided flowchart diagram, if the decision at ""Inspect"" is **Rejected**, the next step is to go back to **Process 2**.","The model output correctly identifies the next step as 'Process 2' when 'inspect' is 'Rejected', aligning with the reference answer.",True
"In this flowchart diagram, if 'inspect' is 'Accepted', what is the next step?",../images_predict/flowchart-example003.png,"If 'inspect' is 'Accepted', the next step is 'Process 3'.","Based on the flowchart diagram provided, if ""Inspect"" is ""Accepted,"" the next step is **Process 3**. After completing **Process 3**, the flow proceeds to the **End**.","The model output correctly identifies the next step as 'Process 3' when 'Inspect' is 'Accepted', which matches the reference answer. The additional detail about the flow proceeding to the 'End' after 'Process 3' does not contradict the reference answer and provides further clarification.",True
"In this flowchart diagram, what is the next step after 'Process 3'?",../images_predict/flowchart-example003.png,The next step after 'Process 3' is 'End'.,"Based on the provided flowchart diagram, the next step after **Process 3** is the **End** terminator.","The model output correctly identifies the next step after 'Process 3' as 'End', which matches the reference answer.",True
"In the flowchart diagram, which of the steps before an object 'Identify resources and estimate costs' except 'Client expectations and constraints'?",../images_predict/flowchart-example101.png,The step before 'Identify resources and estimate costs' except 'Client expectations and constraints' is 'Project Defmition Report'.,"Based on the flowchart diagram provided, the steps before the process **""Identify resources and estimate costs""** (excluding **""Client expectations and constraints""**) are:

1. **Project Definition Report**
2. **Review scope and schedule**

These steps precede the process **""Identify resources and estimate costs""** in the flowchart.","The model output provides additional steps preceding the specified process, which are not mentioned in the reference answer. This discrepancy indicates a potential misunderstanding or misinterpretation of the flowchart.",False
"In this flowchart diagram, if 'Cost within budget' is 'No', what is the next step?",../images_predict/flowchart-example101.png,"If 'Cost within budget' is 'No', the next step is 'Review scope and schedule'.","If ""Cost within budget"" is ""No,"" the next step in the flowchart is to **""Review scope and schedule.""**","The model output matches the reference answer in content and meaning, providing the correct next step in the flowchart.",True
"In this flowchart diagram, if 'Cost within budget' is 'Yes', what is the next step?",../images_predict/flowchart-example101.png,"If 'Cost within budget' is 'Yes', the next step is 'Cost Management Plan'.","Based on the flowchart diagram provided, if ""Cost within budget"" is ""Yes,"" the next step is to proceed to the **Cost Management Plan**.","The model output correctly identifies the next step in the flowchart as 'Cost Management Plan' when 'Cost within budget' is 'Yes', matching the reference answer.",True
"In this flowchart diagram, if 'X < 20' is 'YES', what is the next step?",../images_predict/flowchart-example109.png,"If 'X < 20' is 'YES', the next step is 'Increment X by 1'.","In the provided flowchart, if the condition `X < 20` evaluates to `YES`, the next step is to **increment X by 1**. This creates a loop where the process continues until `X < 20` evaluates to `NO`, at which point the flowchart ends.","The model output correctly identifies the next step in the flowchart as 'Increment X by 1' when 'X < 20' is 'YES', matching the reference answer.",True
"In the flowchart diagram, which of the steps before an object 'Increment X by 1' except 'Initialize X < 0'?",../images_predict/flowchart-example109.png,The step before 'Increment X by 1' except 'Initialize X < 0' is 'X < 20'.,"Based on the provided flowchart diagram, the steps before the object ""Increment X by 1"" (excluding ""Initialize X < 0"") are:

1. **Start** (terminator object). 

This is the only step before ""Increment X by 1"" other than ""Initialize X < 0.""","The model output does not align with the reference answer, as it identifies 'Start' as the step before 'Increment X by 1', which is not consistent with the reference answer's identification of 'X < 20'.",False
"In this flowchart diagram, what is the next step after 'Print X'?",../images_predict/flowchart-example109.png,The next step after 'Print X' is 'X < 20'.,"Based on the provided flowchart diagram, the next step after **'Print X'** is the decision point **'X < 20'**. 

At this decision point:
- If **X < 20** evaluates to **YES**, the flow returns to **'Increment X by 1'**.
- If **X < 20** evaluates to **NO**, the flow proceeds to **END**.","The model output correctly identifies the next step after 'Print X' as 'X < 20', which matches the reference answer. Additionally, it provides further details about the flowchart's logic, which are accurate and enhance understanding.",True
"In this flowchart diagram, if 'Txn conflict?' is 'yes', what is the next step?",../images_predict/flowchart-example190.png,"If 'Txn conflict?' is 'yes', the next step is 'Road Memory Image'.","If ""Txn conflict?"" is ""yes,"" the next step in the flowchart is to check for ""User conflict?""","The model output does not align with the reference answer, as it suggests a different next step in the flowchart.",False
"In this flowchart diagram, if 'Abort?' is 'yes', what is the next step?",../images_predict/flowchart-example190.png,"If 'Abort?' is 'yes', the next step is 'onAbort'.","If ""Abort?"" is ""yes,"" the next step in the flowchart is the process labeled **onAbort**.","The model output correctly identifies the next step in the flowchart when 'Abort?' is 'yes' as 'onAbort', matching the reference answer.",True
"In this flowchart diagram, if 'User conflict?' is 'yes', what is the next step?",../images_predict/flowchart-example190.png,"If 'User conflict?' is 'yes', the next step is 'onConflict'.","If ""User conflict?"" is ""yes,"" the next step in the flowchart is ""Try commit.""","The model output does not align with the reference answer, as the next step for 'User conflict?' being 'yes' is specified as 'onConflict' in the reference answer, not 'Try commit.'",False
"In this flowchart diagram, if 'Decision?' is 'Choice 2', what is the next step?",../images_predict/flowchart-example019.png,"If 'Decision?' is 'Choice 2', the next step is 'Process step 1'.","Based on the provided flowchart diagram, if the decision at ""Decision?"" is ""Choice 2,"" the next step is **Process step 3**.","The model output does not align with the reference answer, as it specifies a different next step for the same condition.",False
"In this flowchart diagram, what is the next step after 'Process step 5'?",../images_predict/flowchart-example019.png,The next step after 'Process step 5' is 'Process step 6'.,"Based on the provided flowchart diagram, the next step after **Process step 5** is **Process step 6**.","The model output correctly identifies the next step in the flowchart as 'Process step 6', which matches the reference answer.",True
"In this flowchart diagram, if 'Decision?' is 'Choice 1', what is the next step?",../images_predict/flowchart-example019.png,"If 'Decision?' is 'Choice 1', the next step is 'Process step 2'.","Based on the provided flowchart diagram, if the decision at ""Decision?"" is ""Choice 1,"" the next step is **Process step 2**.","The model output correctly identifies the next step in the flowchart as 'Process step 2' when the decision is 'Choice 1', matching the reference answer.",True
"In this flowchart diagram, what is the next step after 'Update number of visited page = number of visited page + 1; id of the next site = id of the current site + random(1.86);'?",../images_predict/flowchart-example110.png,The next step after 'Update number of visited page = number of visited page + 1; id of the next site = id of the current site + random(1.86);' is 'number of visited page>5?'.,"Based on the flowchart diagram provided, the next step after the process **""Update number of visited page = number of visited page + 1; id of the next site = id of the current site + random(1,86);""** is to return to the decision **""number of visited page > 5?""**. 

This creates a loop that continues until the condition **""number of visited page > 5?""** evaluates to **yes**, at which point the flow proceeds to **End**.","The model output correctly identifies the next step in the flowchart as described in the reference answer, and it provides additional context about the loop structure, which aligns with the reference.",True
"In this flowchart diagram, if 'number of visited page>5?' is 'yes', what is the next step?",../images_predict/flowchart-example110.png,"If 'number of visited page>5?' is 'yes', the next step is 'End'.","In the provided flowchart, if the decision ""number of visited page > 5?"" is **""yes""**, the next step is to proceed to the **""End""** process.","The model output correctly identifies the next step in the flowchart when the condition 'number of visited page > 5?' is 'yes', matching the reference answer.",True
"In this flowchart diagram, if 'The player's answer is correct?' is 'yes', what is the next step?",../images_predict/flowchart-example110.png,"If 'The player's answer is correct?' is 'yes', the next step is 'Put a clothes on the figure'.","Based on the flowchart diagram provided, if **""The player's answer is correct?""** is **""yes""**, the next step is:

**""Put a clothes on the figure.""**",The model output correctly identifies the next step in the flowchart diagram as described in the reference answer.,True
"In this flowchart diagram, if 'Are Financial Statements Accurate' is 'Yes', what is the next step?",../images_predict/flowchart-example002.webp,"If 'Are Financial Statements Accurate' is 'Yes', the next step is 'Final Reoporting'.","If the decision ""Are Financial Statements Accurate"" is ""Yes,"" the next step in the flowchart is **""Close Period.""**","The model output does not align with the reference answer, as it provides a different next step in the flowchart.",False
"In this flowchart diagram, if 'Are Financial Statements Accurate' is 'No', what is the next step?",../images_predict/flowchart-example002.webp,"If 'Are Financial Statements Accurate' is 'No', the next step is 'Investigate and resolve discrepancies'.","If ""Are Financial Statements Accurate"" is ""No,"" the next step in the flowchart is **""Investigate and resolve discrepancies.""**","The model output accurately reflects the reference answer, providing the same next step in the flowchart.",True
"In the flowchart diagram, which of the steps before an object 'Review Finalcial Statements' except 'Journal Entries and Adjustments'?",../images_predict/flowchart-example002.webp,The step before 'Review Finalcial Statements' except 'Journal Entries and Adjustments' is 'Investigate and resolve discrepancies'.,"To determine the steps before the ""Review Financial Statements"" process (excluding ""Journal Entries and Adjustments""), we can analyze the flowchart diagram and the provided data.

### Steps before ""Review Financial Statements"":
1. **Investigate and resolve discrepancies**  
   This process directly leads to ""Review Financial Statements"" as shown in the flowchart.

2. **Final Reporting**  
   ""Final Reporting"" connects to ""Review Financial Statements"" as per the flowchart.

Thus, the steps before ""Review Financial Statements"" (excluding ""Journal Entries and Adjustments"") are:
- **Investigate and resolve discrepancies**
- **Final Reporting**","The model output includes an additional step, 'Final Reporting,' which is not mentioned in the reference answer. Without access to the flowchart diagram, it is unclear whether this addition is accurate or not. Therefore, the model output cannot be confirmed as correct.",False
"In this flowchart diagram, what is the next step after 'Notify customer'?",../images_predict/flowchart-example009.jpg,The next step after 'Notify customer' is 'Is item still in stock?'.,"Based on the flowchart diagram, the next step after **""Notify customer""** is the decision point **""Does carrier deliver item?""**.","The model output does not align with the reference answer, as it identifies a different subsequent step in the flowchart.",False
"In this flowchart diagram, what is the next step after 'Hand off to carrier'?",../images_predict/flowchart-example009.jpg,The next step after 'Hand off to carrier' is 'Email customer with shipping confirmation and tracking info'.,"Based on the flowchart diagram, the next step after **""Hand off to carrier""** is **""Email customer with shipping confirmation and tracking info""**.","The model output matches the reference answer in content and meaning, providing the correct next step in the flowchart.",True
"In this flowchart diagram, if 'Is item still in stock?' is 'No', what is the next step?",../images_predict/flowchart-example009.jpg,"If 'Is item still in stock?' is 'No', the next step is 'Email customer and cancel order'.","If 'Is item still in stock?' is 'No', the next step in the flowchart is **""Email customer and cancel order.""**",The model output correctly identifies the next step in the flowchart as described in the reference answer.,True
"In this flowchart diagram, if 'Prototype evaluation' is 'Yes', what is the next step?",../images_predict/flowchart-example037.png,"If 'Prototype evaluation' is 'Yes', the next step is 'Design'.","Based on the flowchart diagram provided, if the result of **Prototype evaluation** is **Yes**, the next step is **Design**.","The model output correctly identifies the next step in the flowchart as 'Design' when 'Prototype evaluation' is 'Yes', matching the reference answer.",True
"In this flowchart diagram, what is the next step after 'Quick design'?",../images_predict/flowchart-example037.png,The next step after 'Quick design' is 'Prototyping'.,"Based on the provided flowchart diagram, the next step after **""Quick design""** is **""Prototyping""**.","The model output correctly identifies the next step after 'Quick design' as 'Prototyping', which matches the reference answer.",True
"In this flowchart diagram, what is the next step after 'Research'?",../images_predict/flowchart-example037.png,The next step after 'Research' is 'New product idea'.,"Based on the flowchart diagram provided, the next step after **'Research'** is **'New product idea'**.","The model output correctly identifies the next step in the flowchart as 'New product idea', which matches the reference answer.",True
"In this flowchart diagram, if 'Decide to quote' is 'No', what is the next step?",../images_predict/flowchart-example154.png,"If 'Decide to quote' is 'No', the next step is 'Program requisition'.","Based on the flowchart diagram provided, if the decision ""Decide to quote?"" is ""No,"" the next step is **""Review RFQ""**.","The model output does not align with the reference answer, as it provides a different next step ('Review RFQ') than the one stated in the reference ('Program requisition'). Without additional context or clarification, the model's response cannot be verified as correct.",False
"In the flowchart diagram, which of the steps before an object 'Review quote' except 'Revise quote'?",../images_predict/flowchart-example154.png,The step before 'Review quote' except 'Revise quote' is 'Order acceptable?'.,"Based on the flowchart diagram provided, the steps before the process ""Review quote"" (object_num: 7) except ""Revise quote"" (object_num: 2) are:

1. **Quote acceptable?** (object_num: 9)  
2. **Review RFQ** (object_num: 13)  
3. **Decide to quote?** (object_num: 8)  

These steps precede ""Review quote"" in the flowchart, excluding ""Revise quote.""","The model output lists multiple steps preceding 'Review quote,' but the question specifically asks for the step immediately before it, excluding 'Revise quote.' The reference answer correctly identifies 'Order acceptable?' as the step immediately preceding 'Review quote,' making the model's response incorrect.",False
"In this flowchart diagram, if 'Quote acceptable?' is 'No, send quote response', what is the next step?",../images_predict/flowchart-example154.png,"If 'Quote acceptable?' is 'No, send quote response', the next step is 'Revice quote'.","Based on the flowchart diagram provided, if the decision ""Quote acceptable?"" is ""No, send quote response,"" the next step is **""Review quote""**.","The model output correctly identifies the next step in the flowchart as 'Review quote,' which aligns with the reference answer's 'Revice quote,' likely a typographical error.",True
"In this flowchart diagram, what is the next step after 'Found = true'?",../images_predict/flowchart-example152.png,The next step after 'Found = true' is 'While found = false and not at end of array'.,"Based on the flowchart diagram provided, the next step after **""Found = true""** is the **""Item found""** terminator.","The model output does not align with the reference answer, as it suggests a different subsequent step in the flowchart. Without the diagram for verification, the reference answer is assumed correct.",False
"In this flowchart diagram, if 'If found = true' is 'Yes', what is the next step?",../images_predict/flowchart-example152.png,"If 'If found = true' is 'Yes', the next step is 'item found'.","In the flowchart diagram, if the decision ""If found = true"" is **Yes**, the next step is the **""Item found""** terminator.","The model output correctly identifies the next step in the flowchart as 'Item found' when 'If found = true' is 'Yes', matching the reference answer.",True
"In this flowchart diagram, if 'if item = search' is 'No', what is the next step?",../images_predict/flowchart-example152.png,"If 'if item = search' is 'No', the next step is 'While found = false and not at end of array'.","If the condition ""If item = search"" evaluates to **No**, the next step in the flowchart is to loop back to the decision point **""While found = false and not at end of array""**. This ensures the search continues for the next item in the array.","The model output correctly identifies the next step in the flowchart as described in the reference answer, maintaining the logical flow of the process.",True
"In the flowchart diagram, which of the steps before an object 'Experimental Data' except 'Start'?",../images_predict/flowchart-example049.png,The step before 'Experimental Data' except 'Start' is 'Data Files'.,"Based on the flowchart diagram provided, the steps before the object **""Experimental Data""** (excluding ""Start"") are:

1. **Data Files**  
   This step feeds into the ""Experimental Data"" process.  

","The model output correctly identifies 'Data Files' as the step before 'Experimental Data', excluding 'Start', which aligns with the reference answer.",True
"In this flowchart diagram, what is the next step after 'Calculate Relative Abundances'?",../images_predict/flowchart-example049.png,The next step after 'Calculate Relative Abundances' is 'Draw Spectrum'.,"Based on the flowchart diagram provided, the next step after **""Calculate Relative Abundances""** is **""Draw Spectrum""**.","The model output correctly identifies the next step in the flowchart as 'Draw Spectrum', which matches the reference answer.",True
"In this flowchart diagram, what is the next step after 'Format Data'?",../images_predict/flowchart-example049.png,The next step after 'Format Data' is 'Select Data to Process'.,"Based on the flowchart diagram provided, the next step after **""Format Data""** is **""Select Data to Process""**.","The model output correctly identifies the next step in the flowchart as 'Select Data to Process', which matches the reference answer.",True
"In this flowchart diagram, what is the next step after 'Create packing slip and invoice'?",../images_predict/flowchart-example151.png,The next step after 'Create packing slip and invoice' is 'Ship to customer'.,"Based on the flowchart diagram provided, the next step after **""Create packing slip and invoice""** is **""Ship to customer""**.","The model output correctly identifies the next step in the flowchart as 'Ship to customer', which matches the reference answer.",True
"In this flowchart diagram, what is the next step after 'Pick up items from current inventory'?",../images_predict/flowchart-example151.png,The next step after 'Pick up items from current inventory' is 'Box and package the items'.,"Based on the flowchart diagram provided, the next step after **""Pick up items from current inventory""** is **""Box and package the items""**.","The model output correctly identifies the next step in the flowchart as 'Box and package the items', which matches the reference answer.",True
"In this flowchart diagram, if 'PCP decision: pick, order, or produce?' is 'Produce', what is the next step?",../images_predict/flowchart-example151.png,"If 'PCP decision: pick, order, or produce?' is 'Produce', the next step is 'Determine quantity'.","If the ""PCP decision: pick, order, or produce?"" is ""Produce,"" the next step in the flowchart is **""Determine quantity.""**","The model output correctly identifies the next step in the flowchart as 'Determine quantity' when the decision is 'Produce', matching the reference answer.",True
"In this flowchart diagram, if 'Quality Check' is 'Not OK', what is the next step?",../images_predict/flowchart-example025.png,"If 'Quality Check' is 'Not OK', the next step is 'Send order to Warehouse'.","In the flowchart diagram, if the 'Quality Check' is 'Not OK', the next step is **""Send order to Warehouse""**.","The model output correctly identifies the next step in the flowchart as 'Send order to Warehouse' when the 'Quality Check' is 'Not OK', matching the reference answer.",True
"In the flowchart diagram, which of the steps before an object 'Add Payment Info' except 'Add Shippinig Info'?",../images_predict/flowchart-example025.png,The step before 'Add Payment Info' except 'Add Shippinig Info' is 'Present Error Message'.,"To determine the steps before the ""Add Payment Info"" object (excluding ""Add Shipping Info""), we analyze the flowchart and the provided data.

### Steps before ""Add Payment Info"":
1. **Start** (object_num: 11)
2. **Add to Cart** (object_num: 5)
3. **Checkout Items** (object_num: 4)
4. **Valid Payment?** (object_num: 2)

These steps occur before ""Add Payment Info"" (object_num: 8) in the flowchart, excluding ""Add Shipping Info"" (object_num: 6).","The model output does not align with the reference answer, as it lists steps that do not match the specified condition in the question.",False
"In this flowchart diagram, if 'Valid Payment?' is 'Yes', what is the next step?",../images_predict/flowchart-example025.png,"If 'Valid Payment?' is 'Yes', the next step is 'Send order to Warehouse'.","In the flowchart diagram, if the decision ""Valid Payment?"" is ""Yes,"" the next step is **""Send order to Warehouse.""**","The model output correctly identifies the next step in the flowchart as 'Send order to Warehouse' when 'Valid Payment?' is 'Yes', matching the reference answer.",True
"In this flowchart diagram, if 'num1 > num2' is 'TRUE', what is the next step?",../images_predict/flowchart-example106.png,"If 'num1 > num2' is 'TRUE', the next step is 'num1 ++; num2--;'.","Based on the provided flowchart diagram, if the condition `num1 > num2` is `TRUE`, the next step is:

**Process:** `num1++; num2--;`

This step increments `num1` and decrements `num2`. After this, the flow continues to the next connection leading to the output process `(output) Display: num1, num2`.","The model output correctly identifies the next step in the flowchart when the condition 'num1 > num2' is 'TRUE', which matches the reference answer.",True
"In this flowchart diagram, if 'num1 > num2' is 'FALSE', what is the next step?",../images_predict/flowchart-example106.png,"If 'num1 > num2' is 'FALSE', the next step is 'num1 ++; num2--;'.","If `num1 > num2` is `FALSE`, the next step in the flowchart is to execute the process labeled `num1++; num2--;`.","The model output correctly identifies the next step in the flowchart when the condition 'num1 > num2' is false, matching the reference answer.",True
"In this flowchart diagram, what is the next step after '(output) Display: num1, num2'?",../images_predict/flowchart-example106.png,"The next step after '(output) Display: num1, num2' is 'End'.","Based on the provided flowchart diagram, the next step after `(output) Display: num1, num2` is the **End** terminator.","The model output correctly identifies the next step in the flowchart as 'End', which matches the reference answer.",True
